X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1IQA,ME1IQA,MI1IQA,MA1IQA,SD1IQA,LATITUDE,LONGITUDE
-43.78508,-12.3374699996056,1,SF034,MG,IGAM,Rio Carinhanha,1,17,79,67,90,6,-12.33747,-43.78508
-43.93,-14.7499999995349,2,SF033,MG,IGAM,Rio São Francisco,1,56,70,48,89,12,-14.75,-43.93
-44.09069,-15.1002199995248,3,SF031,MG,IGAM,Rio São Francisco,1,56,67,47,88,11,-15.10022,-44.09069
-44.35111,-15.4886099995138,4,SF029,MG,IGAM,Rio São Francisco,1,56,64,45,82,11,-15.48861,-44.35111
-44.75692,-15.5048599995134,5,SF028,MG,IGAM,Ribeirão Pandeiros,1,37,72,44,91,11,-15.50486,-44.75692
-44.86783,-15.9488599995009,6,SF027,MG,IGAM,Rio São Francisco,1,55,70,45,90,12,-15.94886,-44.86783
-45.23672,-15.4954999995136,7,SF026,MG,IGAM,Rio Pardo,1,37,67,41,87,14,-15.4955,-45.23672
-45.06542,-16.3707199994891,8,SF025,MG,IGAM,Rio São Francisco,1,56,69,42,93,14,-16.37072,-45.06542
-44.91517,-16.8597199994756,9,SF023,MG,IGAM,Rio São Francisco,1,52,69,43,86,12,-16.85972,-44.91517
-44.71667,-17.0833299994695,10,SF021,MG,IGAM,Rio Jequitaí,1,52,71,43,89,13,-17.08333,-44.71667
-44.93006,-17.2972199994637,11,SF019,MG,IGAM,Rio São Francisco,1,52,67,41,84,12,-17.29722,-44.93006
-45.46278,-18.1096099994419,12,SF017,MG,IGAM,Rio Abaeté,1,55,67,37,90,15,-18.10961,-45.46278
-45.17756,-17.9595799994459,13,SF016,MG,IGAM,Rio São Francisco,1,14,74,60,92,10,-17.95958,-45.17756
-45.22544,-18.1542799994408,14,SF015,MG,IGAM,Rio São Francisco,1,55,69,49,92,10,-18.15428,-45.22544
-45.64653,-18.4661099994325,15,SF013,MG,IGAM,Rio Borrachudo,1,52,66,38,89,14,-18.46611,-45.64653
-45.56475,-18.6779999994269,16,SF011,MG,IGAM,Rio Indaiá,1,53,69,35,92,15,-18.678,-45.56475
-45.47844,-19.7722199993987,17,SF010,MG,IGAM,Rio São Francisco,1,37,65,44,89,11,-19.77222,-45.47844
-45.47583,-18.7192199994258,18,SF009,MG,IGAM,Ribeirão Sucuriú,1,55,62,38,88,13,-18.71922,-45.47583
-45.58664,-20.0838899993908,19,SF008,MG,IGAM,Rio Santana,1,37,62,38,81,11,-20.08389,-45.58664
-45.42761,-19.1571399994145,20,SF007,MG,IGAM,Ribeirão Marmelada,1,56,45,23,74,10,-19.15714,-45.42761
-45.105,-19.1619199994143,21,SF006,MG,IGAM,Rio São Francisco,1,56,69,45,89,12,-19.16192,-45.105
-45.27472,-19.2797499994113,22,SF005,MG,IGAM,Rio São Francisco,1,56,68,46,90,12,-19.27975,-45.27472
-45.614,-20.1603599993889,23,SF004,MG,IGAM,Rio Preto,1,56,60,35,76,8,-20.16036,-45.614
-45.71558,-20.1711099993886,24,SF003,MG,IGAM,Rio São Francisco,1,56,68,43,88,11,-20.17111,-45.71558
-45.66006,-20.236669999387,25,SF002,MG,IGAM,Rio São Miguel,1,56,67,54,80,6,-20.23667,-45.66006
-46.46786,-20.3324999993846,26,SF001,MG,IGAM,Rio São Francisco,1,55,79,60,91,6,-20.3325,-46.46786
-48.04444,-21.0886099993659,27,SETA04600,SP,CETESB,Rio Sertãozinho,1,23,37,22,49,7,-21.08861,-48.04444
-49.0636,-21.0505999993668,28,SDOM04500,SP,CETESB,Ribeirão São Domingos,1,87,27,13,50,8,-21.0506,-49.0636
-48.10889,-21.1583299993642,29,SDOM04300,SP,CETESB,Ribeirão São Domingos,1,29,52,34,62,7,-21.15833,-48.10889
-49.0903,-20.8435999993719,30,SDOM03900,SP,CETESB,Ribeirão São Domingos,1,59,51,20,73,9,-20.8436,-49.0903
-49.1072,-20.9335999993697,31,SDOM03700,SP,CETESB,Ribeirão São Domingos,1,31,38,21,52,8,-20.9336,-49.1072
-44.44667,-18.3597199994353,32,SC39,MG,IGAM,Córrego Matadouro,1,24,64,49,76,7,-18.35972,-44.44667
-44.31106,-18.1002199994421,33,SC33,MG,IGAM,Rio Curumataí,1,24,70,37,81,10,-18.10022,-44.31106
-44.06292,-18.6311399994282,34,SC30,MG,IGAM,Rio Paraúna,1,24,68,49,84,10,-18.63114,-44.06292
-43.75003,-18.5067499994314,35,SC28,MG,IGAM,Ribeirão do Chiqueiro,1,24,67,43,79,8,-18.50675,-43.75003
-43.74853,-18.4398099994332,36,SC27,MG,IGAM,Ribeirão do Chiqueiro,1,24,71,50,80,8,-18.43981,-43.74853
-44.20775,-19.446439999407,37,SC26,MG,IGAM,Ribeirão do Matadouro,1,24,36,16,54,11,-19.44644,-44.20775
-44.23825,-19.4662199994065,38,SC25,MG,IGAM,Córrego do Diogo,1,24,34,15,49,9,-19.46622,-44.23825
-44.17028,-19.4682499994065,39,SC24,MG,IGAM,Ribeirão Jequitibá,1,24,47,18,80,14,-19.46825,-44.17028
-44.05856,-19.602829999403,40,SC23,MG,IGAM,Ribeirão da Mata,1,24,50,26,70,10,-19.60283,-44.05856
-44.07597,-19.5798599994036,41,SC22,MG,IGAM,Ribeirão da Mata,1,24,62,44,79,8,-19.57986,-44.07597
-44.01319,-19.639329999402,42,SC21,MG,IGAM,Ribeirão da Mata,1,24,46,35,58,5,-19.63933,-44.01319
-44.05447,-19.6654699994014,43,SC19,MG,IGAM,Ribeirão das Neves,1,24,40,24,52,7,-19.66547,-44.05447
-43.91389,-19.6929699994007,44,SC17,MG,IGAM,Ribeirão da Mata,1,24,48,28,62,8,-19.69297,-43.91389
-43.82442,-19.7156399994001,45,SC16,MG,IGAM,Rio das Velhas,1,34,38,22,58,9,-19.71564,-43.82442
-43.90714,-19.7798899993985,46,SC14,MG,IGAM,Ribeirão Poderoso,1,24,34,25,48,7,-19.77989,-43.90714
-44.03128,-19.8071099993978,47,SC13,MG,IGAM,Ribeirão Areias ou Ribeirão das Areias,1,24,53,37,71,9,-19.80711,-44.03128
-44.03622,-19.8101099993977,48,SC12,MG,IGAM,Ribeirão Areias ou Ribeirão das Areias,1,24,66,47,83,8,-19.81011,-44.03622
-43.90058,-19.8203599993975,49,SC10,MG,IGAM,Ribeirão do Onça,1,24,38,25,62,8,-19.82036,-43.90058
-43.66853,-19.877829999396,50,SC03,MG,IGAM,Córrego Caeté,1,24,31,16,56,9,-19.87783,-43.66853
-47.73778,-23.3527799993127,53,SAUI02900,SP,CETESB,Rio Sarapuí,1,60,70,48,82,8,-23.35278,-47.73778
-45.41611,-23.6308299993064,54,SATO02900,SP,CETESB,Rio Santo Antonio,1,45,61,40,73,7,-23.63083,-45.41611
-48.2289,-20.2266999993872,56,SAPU02800,SP,CETESB,Rio Sapucaí,1,64,64,43,86,11,-20.2267,-48.2289
-47.8275,-20.5233299993798,57,SAPU02400,SP,CETESB,Rio Sapucaí,1,41,67,39,79,10,-20.52333,-47.8275
-47.6422,-20.6593999993765,58,SAPU02300,SP,CETESB,Rio Sapucaí,1,83,67,38,84,11,-20.6594,-47.6422
-47.08472,-20.7074999993752,59,SAPU02270,SP,CETESB,Rio Sapucaí,1,35,65,22,82,13,-20.7075,-47.08472
-47.52167,-20.7294399993747,60,SAPU02250,SP,CETESB,Rio Sapucaí,1,41,64,39,78,10,-20.72944,-47.52167
-47.52222,-20.7297199993747,61,SAPU02200,SP,CETESB,Rio Sapucaí,1,38,67,32,82,11,-20.72972,-47.52222
-47.23389,-20.9894399993683,62,SAPU02050,SP,CETESB,Rio Sapucaí,1,38,71,49,82,9,-20.98944,-47.23389
-45.7953,-23.3346999993131,63,SANT00100,SP,CETESB,Reservatório Santa Branca,2,82,84,64,94,7,-23.3347,-45.7953
-57.87239,-12.1096699996125,64,SAN206,MT,SEMA,Rio Sangue,1,27,78,57,87,6,-12.10967,-57.87239
-56.81462,-14.4516299995435,65,SAN034,MT,SEMA,Rio Santana,1,21,77,64,90,5,-14.45163,-56.81462
-40.65368,-9.5619799996905,66,SALSAL600,BA,INGÁ,Rio Salitre,1,16,60,40,75,9,-9.56198,-40.65368
-40.61331,-9.84443999968173,67,SALSAL500,BA,INGÁ,Rio Salitre,1,15,68,56,83,8,-9.84444,-40.61331
-41.08714,-10.9764199996469,68,SALSAL200,BA,INGÁ,Rio Salitre,1,16,64,33,75,10,-10.97642,-41.08714
-45.69167,-23.7772199993032,69,SAHI02950,SP,CETESB,Rio Saí,1,46,69,55,81,6,-23.77722,-45.69167
-45.5425,-22.7082999993274,70,SAGU02100,SP,CETESB,Rio Sapucaí Guaçu,1,78,50,37,66,7,-22.7083,-45.5425
-45.4169,-23.7568999993036,71,SAFO00300,SP,CETESB,Rio São Francisco,1,82,77,55,92,7,-23.7569,-45.4169
-58.18769,-13.0267199995851,72,SAC117,MT,SEMA,Rio Sacre,1,23,80,70,88,5,-13.02672,-58.18769
-45.76095,-23.7632199993035,73,RUNA02950,SP,CETESB,Rio Una,1,45,65,43,78,8,-23.76322,-45.76095
-40.0708,-19.4017999994081,74,RSJ2C005,ES,IEMA,Rio São José,1,16,71,60,83,7,-19.4018,-40.0708
-40.54092,-19.0439799994173,75,RSJ2C002,ES,IEMA,Informação não disponível,1,16,72,57,83,7,-19.04398,-40.54092
-40.76009,-18.9869099994189,76,RSJ2C001,ES,IEMA,Informação não disponível,1,15,65,48,72,6,-18.98691,-40.76009
-49.3761,-20.8093999993727,77,RPRE02200,SP,CETESB,Reservatório do Rio Preto,2,83,64,43,85,10,-20.8094,-49.3761
-48.03889,-21.247499999362,78,RONC02800,SP,CETESB,Ribeirão da Onça,1,27,74,51,89,7,-21.2475,-48.03889
-47.03139,-21.3974999993584,79,RONC02400,SP,CETESB,Ribeirão da Onça,1,28,74,62,91,5,-21.3975,-47.03139
-47.02139,-21.5327799993552,80,RONC02030,SP,CETESB,Ribeirão da Onça,1,28,72,55,86,6,-21.53278,-47.02139
-53.46869,-16.6748299994807,81,RON54,MT,SEMA,Ribeirão da Onça,1,23,77,65,85,5,-16.67483,-53.46869
-40.93906,-20.8530599993717,82,RNS1C010,ES,IEMA,Rio Novo,1,38,67,43,79,8,-20.85306,-40.93906
-40.8999,-20.8899499993708,83,RNS1C005,ES,IEMA,Rio Novo,1,38,66,45,81,7,-20.88995,-40.8999
-49.61553,-18.4773299994322,84,RMP07,GO,SEMARH,Rio Meia Ponte,1,21,65,45,79,10,-18.47733,-49.61553
-49.22967,-17.4459199994597,85,RMP06,GO,SEMARH,Rio Meia Ponte,1,29,61,34,83,11,-17.44592,-49.22967
-49.08123,-17.0157499994714,86,RMP05,GO,SEMARH,Rio Meia Ponte,1,27,42,21,65,9,-17.01575,-49.08123
-49.14346,-16.7414499994789,87,RMP04,GO,SEMARH,Rio Meia Ponte,1,22,35,16,50,10,-16.74145,-49.14346
-49.25667,-16.6420299994816,88,RMP03,GO,SEMARH,Rio Meia Ponte,1,26,35,18,52,8,-16.64203,-49.25667
-49.32912,-16.5696099994836,89,RMP02,GO,SEMARH,Informação não disponível,1,28,56,29,73,11,-16.56961,-49.32912
-49.54636,-16.1362499994957,90,RMP01,GO,SEMARH,Informação não disponível,1,23,67,31,83,12,-16.13625,-49.54636
-49.95667,-20.4052799993828,91,RMAR02900,SP,CETESB,Reservatório do Córrego Marinheirinho,2,23,74,46,87,11,-20.40528,-49.95667
-40.40568,-19.9424299993944,92,RMA2D015,ES,IEMA,Rio Fundão,1,33,58,42,74,7,-19.94243,-40.40568
-40.42205,-19.9351699993946,93,RMA2D010,ES,IEMA,Rio Fundão,1,23,66,51,82,8,-19.93517,-40.42205
-40.58728,-19.9326399993946,94,RMA2C005,ES,IEMA,Rio Timbuí,1,35,44,30,67,10,-19.93264,-40.58728
-40.63039,-19.9320499993946,95,RMA2C001,ES,IEMA,Rio Timbuí,1,35,62,49,75,6,-19.93205,-40.63039
-47.81556,-21.086939999366,97,RIPE04900,SP,CETESB,Ribeirão Preto,1,22,36,23,48,6,-21.08694,-47.81556
-47.8025,-21.2761099993614,98,RIPE04250,SP,CETESB,Ribeirão Preto,1,23,49,34,63,7,-21.27611,-47.8025
-45.44139,-23.6877799993051,99,RIJU02900,SP,CETESB,Rio Juqueriquerê,1,45,66,50,77,6,-23.68778,-45.44139
-47.39444,-24.6491699992842,100,RIIG02995,SP,CETESB,Rio Ribeira de Iguape,1,39,63,38,74,7,-24.64917,-47.39444
-47.5697,-24.6952999992831,101,RIIG02900,SP,CETESB,Rio Ribeira de Iguape,2,82,63,39,78,8,-24.6953,-47.5697
-47.8347,-24.4891999992876,102,RIIG02500,SP,CETESB,Rio Ribeira de Iguape,1,81,60,39,73,8,-24.4892,-47.8347
-48.01333,-21.2336099993624,103,RICO03900,SP,CETESB,Córrego Rico,1,27,63,49,78,5,-21.23361,-48.01333
-48.15667,-21.3102799993605,104,RICO02600,SP,CETESB,Córrego Rico,1,29,72,48,90,6,-21.31028,-48.15667
-48.12833,-21.3105599993605,105,RICO02200,SP,CETESB,Córrego Rico,1,30,71,50,86,8,-21.31056,-48.12833
-48.8269,-24.654199999284,106,RIBE02500,SP,CETESB,Rio Ribeira,1,82,68,32,83,11,-24.6542,-48.8269
-39.49102,-5.16595999983053,107,RIA10,CE,COGERH,Açude Riachão,2,14,49,44,68,6,-5.16596,-39.49102
-48.80972,-22.2608299993378,108,RGRA02990,SP,CETESB,Ribeirão Grande,1,38,38,28,49,5,-22.26083,-48.80972
-45.42999,-23.6570499993059,109,RGOA02900,SP,CETESB,Rio Lagoa,1,46,41,23,72,12,-23.65705,-45.42999
-46.03333,-23.7686099993034,110,RGDE02900,SP,CETESB,Reservatório do Rio Grande,2,80,80,47,92,7,-23.76861,-46.03333
-46.4456,-23.739699999304,111,RGDE02200,SP,CETESB,Reservatório do Rio Grande,2,78,72,35,88,9,-23.7397,-46.4456
-46.38861,-23.9747199992988,112,REIS02900,SP,CETESB,Rio Canal Barreiros,1,40,57,30,71,8,-23.97472,-46.38861
-37.56753,-11.5638299996289,113,REAREA500,BA,INGÁ,Real,1,15,66,53,75,7,-11.56383,-37.56753
-38.00372,-11.1926899996403,114,REAREA300,BA,INGÁ,Real,1,20,33,17,73,12,-11.19269,-38.00372
-38.1867,-10.7069999996551,115,REAREA100,BA,INGÁ,Real,1,20,29,15,72,12,-10.707,-38.1867
-40.61161,-19.5066899994055,116,RDC2C017,ES,IEMA,Informação não disponível,1,16,60,42,74,9,-19.50669,-40.61161
-40.71256,-19.5374199994047,117,RDC2C012,ES,IEMA,Rio Santa Joana,1,37,70,40,84,10,-19.53742,-40.71256
-50.3106,-21.3102999993605,119,XOTE02500,SP,CETESB,Córrego do Baixote,1,51,61,41,76,9,-21.3103,-50.3106
-37.87,-10.5874999996587,120,VZBVZB900,BA,INGÁ,Vaza-Barris,1,18,66,43,79,8,-10.5875,-37.87
-38.361,-10.093859999674,122,VZBVZB400,BA,INGÁ,Vaza-Barris,1,18,65,52,76,5,-10.09386,-38.361
-39.03789,-9.88213999968053,123,VZBVZB150,BA,INGÁ,Vaza-Barris,1,16,75,51,88,9,-9.88214,-39.03789
-38.08611,-10.5711099996592,124,VZBAAD300,BA,INGÁ,Açude da Adustina,2,14,56,41,74,11,-10.57111,-38.08611
-42.36314,-11.1263099996422,128,VJRVRD500,BA,INGÁ,Rio Verde,1,15,71,56,84,7,-11.12631,-42.36314
-41.56822,-10.904309999649,129,VJRJRE800,BA,INGÁ,Rio Jacaré,1,13,62,46,74,8,-10.90431,-41.56822
-43.5,-14.9225299995299,131,VG011,MG,IGAM,Rio Verde Grande,1,44,71,53,88,9,-14.92253,-43.5
-43.325,-15.2333299995211,132,VG009,MG,IGAM,Rio Gorutuba,1,41,58,36,79,10,-15.23333,-43.325
-43.3125,-15.7727799995058,133,VG007,MG,IGAM,Rio Gorutuba,1,56,61,41,83,10,-15.77278,-43.3125
-43.67461,-15.341499999518,134,VG005,MG,IGAM,Rio Verde Grande,1,55,65,44,77,8,-15.3415,-43.67461
-43.785,-16.2111099994936,135,VG004,MG,IGAM,Rio Verde Grande,1,55,58,37,73,8,-16.21111,-43.785
-43.74286,-16.6046899994827,136,VG003,MG,IGAM,Ribeirão dos Vieiras ou Rio dos Vieiras,1,51,31,15,51,9,-16.60469,-43.74286
-43.69083,-16.7816699994778,137,VG001,MG,IGAM,Rio Verde Grande,1,51,62,38,81,13,-16.78167,-43.69083
-55.90794,-13.0507799995844,139,VER229,MT,SEMA,Rio Verde,1,29,75,60,84,5,-13.05078,-55.90794
-54.79096,-16.5297299994847,140,VEM111,MT,SEMA,Rio Vermelho,1,22,57,0,76,17,-16.52973,-54.79096
-54.65179,-16.4795799994861,141,VEM093,MT,SEMA,Rio Vermelho,1,19,54,41,66,9,-16.47958,-54.65179
-54.30096,-16.196309999494,142,VEM015,MT,SEMA,Rio Vermelho,1,37,64,34,77,12,-16.19631,-54.30096
-45.12106,-16.1417799994955,144,UR017,MG,IGAM,Rio Urucuia,1,26,68,45,90,14,-16.14178,-45.12106
-45.97539,-16.4678299994864,145,UR016,MG,IGAM,Ribeirão Santo André,1,29,68,39,84,14,-16.46783,-45.97539
-45.858,-16.0902799994969,146,UR015,MG,IGAM,Ribeirão da Areia,1,29,71,50,87,9,-16.09028,-45.858
