"movieId";"titulo";"Adventure";"Animation";"Children";"Comedy";"Fantasy";"Romance";"Drama";"Action";"Crime";"Thriller";"Horror";"Mystery";"Sci.Fi";"War";"Musical";"Documentary";"IMAX";"Western";"Film.Noir";"No.genres"
1;"Toy Story (1995)";1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;"Jumanji (1995)";1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;"Grumpier Old Men (1995)";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;"Waiting to Exhale (1995)";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5;"Father of the Bride Part II (1995)";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;"Heat (1995)";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
7;"Sabrina (1995)";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;"Tom and Huck (1995)";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;"Sudden Death (1995)";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10;"GoldenEye (1995)";1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
11;"American President, The (1995)";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12;"Dracula: Dead and Loving It (1995)";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
13;"Balto (1995)";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"Cutthroat Island (1995)";1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
16;"Casino (1995)";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
17;"Sense and Sensibility (1995)";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
18;"Four Rooms (1995)";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;"Ace Ventura: When Nature Calls (1995)";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;"Money Train (1995)";0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
21;"Get Shorty (1995)";0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
22;"Copycat (1995)";0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
23;"Assassins (1995)";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
24;"Powder (1995)";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
25;"Leaving Las Vegas (1995)";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
